iter	F1	Logloss
0	0.5933057181	0.6556190849
1	0.6243660058	0.6368958039
2	0.6245302745	0.6334592988
3	0.6182231644	0.628693602
4	0.6533846052	0.6252375482
5	0.6475709309	0.6233581992
6	0.6521281145	0.6152604274
7	0.6543292949	0.6133335036
8	0.6654817962	0.6110897677
9	0.6751964826	0.6094909095
10	0.6713633766	0.608508247
11	0.6693922522	0.607107095
12	0.6699706419	0.6058659642
13	0.670157611	0.604906467
14	0.6743570687	0.6043188815
15	0.6720871642	0.6038699576
16	0.6707231005	0.602952857
17	0.6742670659	0.6023059449
18	0.6701176566	0.5992766821
19	0.6742648526	0.5988499893
20	0.6782928308	0.5978914626
21	0.6789503612	0.5968965262
22	0.6778745528	0.5963203683
23	0.6786236886	0.5959270798
24	0.6785338292	0.5954898054
25	0.6779634246	0.5949100265
26	0.6795499219	0.5941400463
27	0.6799717735	0.5933302199
28	0.6827212336	0.591843855
29	0.6878753941	0.590831381
30	0.6875582576	0.5901570146
31	0.6897231764	0.5896391101
32	0.6881422537	0.5890978297
33	0.6910029432	0.5883868837
34	0.6907761771	0.587973874
35	0.68958512	0.5874402591
36	0.690761909	0.5870280498
37	0.690078106	0.586395258
38	0.6907479785	0.5856646776
39	0.6911195788	0.5848250803
40	0.6925167259	0.5844585871
41	0.6938751167	0.5839139903
